gene_orf	gene_symbol
DMEL_CG15440	CG15440
DMEL_CG1646	CG1646
DMEL_CG15693	RpS20
DMEL_CG3412	slmb
DMEL_CG4911	CG4911
DMEL_CG31045	Mhcl
DMEL_CG17596	S6kII
DMEL_CG4111	RpL35
DMEL_CG18319	ben
DMEL_CG5140	nopo
DMEL_CG18492	Tak1
DMEL_CG7417	Tab2
DMEL_CG7952	gt
DMEL_CG3073	temp
DMEL_CG2047	ftz
DMEL_CG4059	ftz-f1
DMEL_CG7808	RpS8
DMEL_CG3201	Mlc-c
DMEL_CG3664	Rab5
DMEL_CG3225	CG3225
DMEL_CG8277	eIF4E-5
DMEL_CG30084	Zasp52
DMEL_CG4376	Actn
DMEL_CG31012	cindr
DMEL_CG5680	bsk
DMEL_CG31317	stumps
DMEL_CG8676	Hr39
DMEL_CG3193	crn
DMEL_CG8264	Bx42
DMEL_CG32016	4E-T
DMEL_CG32105	CG32105
DMEL_CG32130	stv
DMEL_CG32425	CG32425
DMEL_CG32486	CG32486
DMEL_CG8284	UbcD4
DMEL_CG33135	KCNQ
DMEL_CG8472	Cam
DMEL_CG9911	CG9911
DMEL_CG3403	Mob4
DMEL_CG3497	Su(H)
DMEL_CG3510	CycB
DMEL_CG3731	CG3731
DMEL_CG3796	ac
DMEL_CG7187	Ssdp
DMEL_CG3937	cher
DMEL_CG5723	Ten-m
DMEL_CG3938	CycE
DMEL_CG5360	mi
DMEL_CG4006	Akt1
DMEL_CG17704	Nipped-B
DMEL_CG4203	CG4203
DMEL_CG4035	eIF-4E
DMEL_CG5893	D
DMEL_CG4107	Gcn5
DMEL_CG4148	wek
DMEL_CG5099	msi
DMEL_CG8580	akirin
DMEL_CG4394	Traf-like
DMEL_CG4557	CG4557
DMEL_CG6601	Rab6
DMEL_CG4709	CG4709
DMEL_CG7757	Prp3
DMEL_CG4832	cnn
DMEL_CG9277	betaTub56D
DMEL_CG8569	CG8569
DMEL_CG7111	Rack1
DMEL_CG5923	DNApol-alpha73
DMEL_CG6349	DNApol-alpha180
DMEL_CG6033	drk
DMEL_CG6172	vnd
DMEL_CG9745	D1
DMEL_CG7109	mts
DMEL_CG6755	EloA
DMEL_CG6875	asp
DMEL_CG8725	CSN4
DMEL_CG8262	ana2
DMEL_CG7242	Spc25
DMEL_CG7404	ERR
DMEL_CG45051	sima
DMEL_CG7524	Src64B
DMEL_CG8506	Rbsn-5
DMEL_CG8301	CG8301
DMEL_CG8309	Tango7
DMEL_CG9769	CG9769
DMEL_CG8704	dpn
DMEL_CG8436	Ibf1
DMEL_CG9740	Ibf2
DMEL_CG8989	His3.3B
DMEL_CG9383	asf1
DMEL_CG7977	RpL23A
DMEL_CG5363	cdc2
DMEL_CG8914	CkIIbeta2
DMEL_CG10579	Eip63E
DMEL_CG7281	CycC
DMEL_CG14939	CycY
DMEL_CG11963	skap
DMEL_CG12019	Cdc37
DMEL_CG10539	S6k
DMEL_CG10967	Atg1
DMEL_CG6811	RhoGAP68F
DMEL_CG4921	Rab4
DMEL_CG33336	p53
DMEL_CG3018	lwr
DMEL_CG1244	MEP-1
DMEL_CG6923	CG6923
DMEL_CG43162	jvl
DMEL_CG12047	mud
DMEL_CG7850	puc
DMEL_CG12537	rdx
CELE_AC7.2	soc-2
ZK792.6	let-60
CELE_B0024.14	crm-1
CELE_K08E7.5	CELE_K08E7.5
CELE_T21D12.11	T21D12.11
CELE_Y69H2.10	CELE_Y69H2.10
CELE_Y69H2.3	CELE_Y69H2.3
CELE_B0041.6	ptps-1
B0205.3	rpn-10
F23F12.6	rpt-3
B0207.4	air-2
CELE_Y39G10AR.13	icp-1
B0393.1	rps-0
